unix,date,symbol,open,high,low,close,Volume SOL,Volume USD
1725260400,2024-09-02 07:00:00,SOL/USD,129.0226,129.3862,126.9607,127.6511,1860.51,237496.14806099999
1725256800,2024-09-02 06:00:00,SOL/USD,128.9741,129.4815,128.3588,128.8871,1003.25,129305.98307500001
1725253200,2024-09-02 05:00:00,SOL/USD,127.6012,129.7777,127.5768,129.1537,2515.42,324875.800054
1725249600,2024-09-02 04:00:00,SOL/USD,130.2149,130.2792,127.3666,127.3778,927.92,118196.40817599998
1725246000,2024-09-02 03:00:00,SOL/USD,129.9843,130.3691,129.4846,130.1616,436.86,56862.396576
1725242400,2024-09-02 02:00:00,SOL/USD,130.5950,130.5950,128.6148,128.8501,769.19,99110.208419
1725238800,2024-09-02 01:00:00,SOL/USD,129.8978,130.2975,129.3598,129.7421,464.62,60280.774502
1725235200,2024-09-02 00:00:00,SOL/USD,128.8232,130.3280,128.7036,129.7002,715.58,92810.869116
1725231600,2024-09-01 23:00:00,SOL/USD,129.0502,130.4444,128.0348,128.7726,1744.93,224699.17291800003
1725228000,2024-09-01 22:00:00,SOL/USD,133.8641,133.9554,128.2902,129.0945,2499.29,322644.592905
1725224400,2024-09-01 21:00:00,SOL/USD,134.8892,134.8892,133.2477,133.7578,523.39,70007.494942
1725220800,2024-09-01 20:00:00,SOL/USD,135.4051,136.0611,134.7148,134.9126,837.01,112923.195326
1725217200,2024-09-01 19:00:00,SOL/USD,134.8830,135.4668,134.2721,135.2811,379.25,51305.357175000005
1725213600,2024-09-01 18:00:00,SOL/USD,132.8699,135.2425,132.5671,134.6922,4921.23,662851.295406
1725210000,2024-09-01 17:00:00,SOL/USD,132.8882,133.4076,131.9100,132.5184,550.12,72901.02220800001
1725206400,2024-09-01 16:00:00,SOL/USD,133.9235,134.2425,132.7642,133.0996,1721.55,229137.61638000002
1725202800,2024-09-01 15:00:00,SOL/USD,131.7128,134.6623,131.7128,134.2410,6443.59,864993.9651900001
1725199200,2024-09-01 14:00:00,SOL/USD,130.8500,132.6283,130.0000,131.8315,3475.02,458117.09913
1725195600,2024-09-01 13:00:00,SOL/USD,131.0706,131.5638,130.2914,130.9692,350.24,45870.652608000004
1725192000,2024-09-01 12:00:00,SOL/USD,131.9941,132.0430,130.9333,130.9820,272.98,35755.466360000006
1725188400,2024-09-01 11:00:00,SOL/USD,130.2388,131.8912,130.2388,131.8324,537.26,70828.275224
1725184800,2024-09-01 10:00:00,SOL/USD,131.0798,131.0798,130.2988,130.3498,1260.48,164303.315904
1725181200,2024-09-01 09:00:00,SOL/USD,131.3498,132.1229,130.8888,131.2286,583.21,76533.831806
1725177600,2024-09-01 08:00:00,SOL/USD,132.7336,132.7336,131.3608,131.4500,1946.88,255917.376
1725174000,2024-09-01 07:00:00,SOL/USD,132.7455,132.9127,132.0954,132.6132,2113.39,280263.410748
1725170400,2024-09-01 06:00:00,SOL/USD,131.5876,132.7238,131.5876,132.6916,1131.70,150167.08372
1725166800,2024-09-01 05:00:00,SOL/USD,133.5751,133.5751,131.1110,131.6483,3746.98,493283.54713400005
1725163200,2024-09-01 04:00:00,SOL/USD,133.5684,133.7358,133.5678,133.7358,52.77,7057.238166000001
1725159600,2024-09-01 03:00:00,SOL/USD,134.0835,134.4076,134.0550,134.0550,178.00,23861.79
1725156000,2024-09-01 02:00:00,SOL/USD,133.3663,133.8149,132.8898,133.8149,377.83,50559.283666999996
1725152400,2024-09-01 01:00:00,SOL/USD,135.4701,135.4701,133.4927,133.4927,324.04,43256.97450800001
1725148800,2024-09-01 00:00:00,SOL/USD,135.2073,135.3891,135.1250,135.1250,74.40,10053.300000000001
1725145200,2024-08-31 23:00:00,SOL/USD,134.8861,135.2190,134.8861,135.2190,99.88,13505.673719999999
1725141600,2024-08-31 22:00:00,SOL/USD,135.7604,136.0588,135.3481,135.3481,678.98,91898.652938
1725138000,2024-08-31 21:00:00,SOL/USD,135.2316,136.2778,135.1400,136.2778,1366.61,186238.604258
1725134400,2024-08-31 20:00:00,SOL/USD,134.6915,135.5265,134.5513,135.5236,286.43,38818.024747999996
1725130800,2024-08-31 19:00:00,SOL/USD,134.7708,135.0474,134.6706,135.0474,234.18,31625.400132000002
1725127200,2024-08-31 18:00:00,SOL/USD,135.6786,136.1856,135.3630,135.4488,244.35,33096.91428
1725123600,2024-08-31 17:00:00,SOL/USD,136.0063,136.2099,134.9773,134.9773,161.47,21794.784631000002
1725120000,2024-08-31 16:00:00,SOL/USD,136.5348,136.5348,135.6858,136.1444,190.16,25889.219103999996
