unix,date,symbol,open,high,low,close,Volume XRP,Volume RLUSD
1749938400,2025-06-14 22:00:00,XRP/RLUSD,2.13839,2.14009,2.13839,2.14009,19.04,40.7473136
1749934800,2025-06-14 21:00:00,XRP/RLUSD,2.13645,2.13759,2.13645,2.13759,1022.99,2186.7331940999998
1749931200,2025-06-14 20:00:00,XRP/RLUSD,2.11590,2.11590,2.11590,2.11590,9.63,20.376117
1749927600,2025-06-14 19:00:00,XRP/RLUSD,2.13035,2.13556,2.13035,2.13469,3743.24,7990.656995599999
1749924000,2025-06-14 18:00:00,XRP/RLUSD,2.13436,2.13436,2.12749,2.12835,29.02,61.764717000000005
1749920400,2025-06-14 17:00:00,XRP/RLUSD,2.13176,2.13272,2.13176,2.13272,29.13,62.126133599999996
1749916800,2025-06-14 16:00:00,XRP/RLUSD,2.14447,2.14447,2.12393,2.12482,29.06,61.747269200000005
1749913200,2025-06-14 15:00:00,XRP/RLUSD,2.16536,2.16536,2.15145,2.15145,48.22,103.742919
1749909600,2025-06-14 14:00:00,XRP/RLUSD,2.16757,2.16757,2.16757,2.16757,0.00,0.0
1749906000,2025-06-14 13:00:00,XRP/RLUSD,2.16757,2.16757,2.16757,2.16757,19.15,41.508965499999995
1749902400,2025-06-14 12:00:00,XRP/RLUSD,2.17573,2.17573,2.17213,2.17213,19.24,41.791781199999996
1749898800,2025-06-14 11:00:00,XRP/RLUSD,2.17139,2.17565,2.17139,2.17565,19.28,41.946532000000005
1749895200,2025-06-14 10:00:00,XRP/RLUSD,2.16923,2.16923,2.16923,2.16923,115.08,249.63498840000003
1749891600,2025-06-14 09:00:00,XRP/RLUSD,2.17078,2.17078,2.16494,2.16494,503.14,1089.2679116
1749888000,2025-06-14 08:00:00,XRP/RLUSD,2.16581,2.17700,2.16581,2.17359,6216.69,13512.535217099998
1749884400,2025-06-14 07:00:00,XRP/RLUSD,2.16542,2.16844,2.16542,2.16844,38.32,83.0946208
1749880800,2025-06-14 06:00:00,XRP/RLUSD,2.15851,2.15851,2.15510,2.15510,19.54,42.110654
1749877200,2025-06-14 05:00:00,XRP/RLUSD,2.16509,2.16509,2.16509,2.16509,0.00,0.0
1749873600,2025-06-14 04:00:00,XRP/RLUSD,2.16107,2.16509,2.16107,2.16509,44.19,95.6753271
1749870000,2025-06-14 03:00:00,XRP/RLUSD,2.15620,2.15620,2.15620,2.15620,9.78,21.087636
1749866400,2025-06-14 02:00:00,XRP/RLUSD,2.14183,2.14481,2.14100,2.14100,29.61,63.39501
1749862800,2025-06-14 01:00:00,XRP/RLUSD,2.13916,2.13916,2.13916,2.13916,9.89,21.1562924
1749859200,2025-06-14 00:00:00,XRP/RLUSD,2.14240,2.14701,2.14240,2.14701,19.74,42.3819774
1749855600,2025-06-13 23:00:00,XRP/RLUSD,2.14854,2.14854,2.14854,2.14854,34.68,74.51136720000001
1749852000,2025-06-13 22:00:00,XRP/RLUSD,2.14732,2.14732,2.14732,2.14732,0.00,0.0
1749848400,2025-06-13 21:00:00,XRP/RLUSD,2.14379,2.14732,2.14379,2.14732,365.57,784.9957724000001
1749844800,2025-06-13 20:00:00,XRP/RLUSD,2.13217,2.13217,2.13217,2.13217,9.94,21.1937698
1749841200,2025-06-13 19:00:00,XRP/RLUSD,2.12886,2.13515,2.12886,2.13000,29.80,63.474
1749837600,2025-06-13 18:00:00,XRP/RLUSD,2.13840,2.13840,2.11911,2.13051,889.57,1895.2377807000003
1749834000,2025-06-13 17:00:00,XRP/RLUSD,2.14471,2.14471,2.14471,2.14471,9.89,21.2111819
1749830400,2025-06-13 16:00:00,XRP/RLUSD,2.14534,2.14651,2.14534,2.14651,419.60,900.6755960000002
1749826800,2025-06-13 15:00:00,XRP/RLUSD,2.13302,2.13302,2.13302,2.13302,0.00,0.0
1749823200,2025-06-13 14:00:00,XRP/RLUSD,2.13302,2.13302,2.13302,2.13302,9.97,21.2662094
1749819600,2025-06-13 13:00:00,XRP/RLUSD,2.14675,2.14691,2.14365,2.14691,1104.63,2371.5411933000005
1749816000,2025-06-13 12:00:00,XRP/RLUSD,2.15519,2.15851,2.15229,2.15229,29.87,64.28890229999999
1749812400,2025-06-13 11:00:00,XRP/RLUSD,2.13909,2.13909,2.13909,2.13909,0.00,0.0
1749808800,2025-06-13 10:00:00,XRP/RLUSD,2.13667,2.13909,2.13161,2.13909,30.12,64.42939080000001
1749805200,2025-06-13 09:00:00,XRP/RLUSD,2.13708,2.13708,2.12678,2.12678,30.10,64.01607800000001
1749801600,2025-06-13 08:00:00,XRP/RLUSD,2.13193,2.15251,2.13193,2.15251,5630.26,12119.1909526
1749798000,2025-06-13 07:00:00,XRP/RLUSD,2.11370,2.12385,2.11370,2.12385,2059.34,4373.729259000001
1749794400,2025-06-13 06:00:00,XRP/RLUSD,2.11763,2.11763,2.09541,2.09952,41.68,87.5079936
1749790800,2025-06-13 05:00:00,XRP/RLUSD,2.11678,2.11678,2.11678,2.11678,10.12,21.421813599999997
1749787200,2025-06-13 04:00:00,XRP/RLUSD,2.11991,2.12526,2.11319,2.12526,31.30,66.520638
1749783600,2025-06-13 03:00:00,XRP/RLUSD,2.10711,2.13242,2.10711,2.13242,75.24,160.4432808
1749780000,2025-06-13 02:00:00,XRP/RLUSD,2.10783,2.10783,2.09685,2.09703,485.46,1018.0241838000001
1749776400,2025-06-13 01:00:00,XRP/RLUSD,2.11794,2.11794,2.10184,2.11287,31994.72,67600.6840464
1749772800,2025-06-13 00:00:00,XRP/RLUSD,2.19193,2.19193,2.13140,2.13182,434452.31,926174.1235041999
1749769200,2025-06-12 23:00:00,XRP/RLUSD,2.19556,2.19556,2.19556,2.19556,33.25,73.00237
1749765600,2025-06-12 22:00:00,XRP/RLUSD,2.19217,2.19217,2.19003,2.19003,19.88,43.5377964
1749762000,2025-06-12 21:00:00,XRP/RLUSD,2.18644,2.18644,2.18644,2.18644,9.98,21.820671200000003
1749758400,2025-06-12 20:00:00,XRP/RLUSD,2.21271,2.21271,2.20454,2.20454,19.94,43.958527600000004
1749754800,2025-06-12 19:00:00,XRP/RLUSD,2.23823,2.23823,2.23823,2.23823,9.96,22.292770800000003
1749751200,2025-06-12 18:00:00,XRP/RLUSD,2.23721,2.24025,2.23721,2.24025,585.58,1311.8455950000002
1749747600,2025-06-12 17:00:00,XRP/RLUSD,2.24631,2.24631,2.24621,2.24621,2029.80,4559.357058
1749744000,2025-06-12 16:00:00,XRP/RLUSD,2.24223,2.24223,2.24223,2.24223,0.00,0.0
1749740400,2025-06-12 15:00:00,XRP/RLUSD,2.24796,2.24796,2.24223,2.24223,19.92,44.66522160000001
1749736800,2025-06-12 14:00:00,XRP/RLUSD,2.24939,2.24939,2.24904,2.24904,19.94,44.8458576
1749733200,2025-06-12 13:00:00,XRP/RLUSD,2.24086,2.24086,2.23594,2.23594,56.42,126.1517348
1749729600,2025-06-12 12:00:00,XRP/RLUSD,2.22916,2.23387,2.22916,2.23387,1023.68,2286.7680416
1749726000,2025-06-12 11:00:00,XRP/RLUSD,2.23160,2.23160,2.23160,2.23160,1108.05,2472.7243799999997
1749722400,2025-06-12 10:00:00,XRP/RLUSD,2.24294,2.24294,2.23942,2.23942,20.06,44.92276519999999
1749718800,2025-06-12 09:00:00,XRP/RLUSD,2.24138,2.24138,2.24138,2.24138,0.00,0.0
1749715200,2025-06-12 08:00:00,XRP/RLUSD,2.23519,2.24216,2.23519,2.24138,69.25,155.215565
1749711600,2025-06-12 07:00:00,XRP/RLUSD,2.24797,2.24797,2.23745,2.24033,9869.62,22111.205774600003
1749708000,2025-06-12 06:00:00,XRP/RLUSD,2.25459,2.25459,2.25459,2.25459,3987.32,8989.7717988
1749704400,2025-06-12 05:00:00,XRP/RLUSD,2.24571,2.25751,2.24571,2.25710,1692.34,3819.780614
1749700800,2025-06-12 04:00:00,XRP/RLUSD,2.24092,2.24752,2.23935,2.24612,3750.19,8423.3767628
1749697200,2025-06-12 03:00:00,XRP/RLUSD,2.24799,2.24799,2.24216,2.24216,3600.59,8073.098874400001
1749693600,2025-06-12 02:00:00,XRP/RLUSD,2.25732,2.25979,2.24934,2.24934,143.46,322.69031640000003
1749690000,2025-06-12 01:00:00,XRP/RLUSD,2.26250,2.26250,2.25129,2.25129,516.85,1163.5792365
1749686400,2025-06-12 00:00:00,XRP/RLUSD,2.26949,2.26949,2.26098,2.26098,2536.96,5736.0158208
