unix,date,symbol,open,high,low,close,Volume ADA,Volume USD
1749783600,2025-06-13 03:00:00,ADA/USD,0.62488,0.63697,0.62380,0.63616,131650.59672505,83750.8436126078
1749780000,2025-06-13 02:00:00,ADA/USD,0.62701,0.62701,0.61887,0.62386,103009.54092484,64263.532201370675
1749776400,2025-06-13 01:00:00,ADA/USD,0.63193,0.63193,0.61900,0.62720,145394.81327704,91191.62688735948
1749772800,2025-06-13 00:00:00,ADA/USD,0.66160,0.66160,0.62394,0.63446,341887.03417975,216913.6477056842
1749769200,2025-06-12 23:00:00,ADA/USD,0.66031,0.66525,0.66031,0.66525,9463.28511776,6295.450424589841
1749765600,2025-06-12 22:00:00,ADA/USD,0.66123,0.66123,0.65810,0.66028,4850.81386999,3202.895382076997
1749762000,2025-06-12 21:00:00,ADA/USD,0.66085,0.66421,0.65881,0.65885,142731.17145561,94038.43231352865
1749758400,2025-06-12 20:00:00,ADA/USD,0.66822,0.67137,0.65780,0.66214,289742.16555620,191849.87750138226
1749754800,2025-06-12 19:00:00,ADA/USD,0.68054,0.68132,0.66724,0.66867,88234.15891604,58999.53504238847
1749751200,2025-06-12 18:00:00,ADA/USD,0.68697,0.68697,0.67661,0.67905,431612.18260751,293086.2525996297
1749747600,2025-06-12 17:00:00,ADA/USD,0.68343,0.68847,0.68343,0.68697,432223.26605370,296924.4170809103
1749744000,2025-06-12 16:00:00,ADA/USD,0.67683,0.68405,0.67683,0.68303,64197.72273353,43848.970558682995
1749740400,2025-06-12 15:00:00,ADA/USD,0.68962,0.69008,0.67745,0.67745,120184.05389011,81418.68730785501
1749736800,2025-06-12 14:00:00,ADA/USD,0.68809,0.68999,0.68643,0.68859,37890.03624836,26090.700060258212
1749733200,2025-06-12 13:00:00,ADA/USD,0.68303,0.68585,0.68198,0.68383,74935.79716080,51243.346172469865
1749729600,2025-06-12 12:00:00,ADA/USD,0.67761,0.68487,0.67728,0.68268,124580.99859824,85048.95612304648
1749726000,2025-06-12 11:00:00,ADA/USD,0.68116,0.68182,0.67618,0.67737,135047.46643169,91477.10233683386
1749722400,2025-06-12 10:00:00,ADA/USD,0.68553,0.68554,0.68000,0.68234,92870.20889169,63369.05833515574
1749718800,2025-06-12 09:00:00,ADA/USD,0.68596,0.68743,0.68477,0.68640,72421.07718567,49709.82738024389
1749715200,2025-06-12 08:00:00,ADA/USD,0.68498,0.68809,0.68298,0.68617,114550.83325033,78601.34525137894
1749711600,2025-06-12 07:00:00,ADA/USD,0.69306,0.69306,0.68724,0.68743,119451.77029441,82114.73045348626
1749708000,2025-06-12 06:00:00,ADA/USD,0.69313,0.69360,0.68959,0.69305,42865.67874760,29708.058656024183
1749704400,2025-06-12 05:00:00,ADA/USD,0.69061,0.69378,0.68821,0.69378,30119.69628707,20896.442890043425
1749700800,2025-06-12 04:00:00,ADA/USD,0.69083,0.69083,0.68810,0.68973,72192.10400319,49793.05989412024
1749697200,2025-06-12 03:00:00,ADA/USD,0.69402,0.69438,0.68963,0.69120,89052.51788386,61553.10036132403
1749693600,2025-06-12 02:00:00,ADA/USD,0.69784,0.69784,0.69422,0.69449,49659.86551809,34488.28000365833
1749690000,2025-06-12 01:00:00,ADA/USD,0.69859,0.69859,0.69327,0.69666,40569.81818740,28263.369538434083
1749686400,2025-06-12 00:00:00,ADA/USD,0.69822,0.69996,0.69440,0.69899,62731.43542491,43848.64604765784
1749682800,2025-06-11 23:00:00,ADA/USD,0.69322,0.69820,0.69322,0.69749,69193.28456250,48261.62404949813
1749679200,2025-06-11 22:00:00,ADA/USD,0.69641,0.69860,0.69152,0.69274,218089.42202799,151079.26621566978
1749675600,2025-06-11 21:00:00,ADA/USD,0.70570,0.70940,0.69523,0.69740,154014.24439432,107409.53404059878
1749672000,2025-06-11 20:00:00,ADA/USD,0.70333,0.70681,0.69979,0.70514,81838.39584921,57707.526449111945
1749668400,2025-06-11 19:00:00,ADA/USD,0.70808,0.70818,0.70313,0.70432,211405.99943949,148897.47352522158
1749664800,2025-06-11 18:00:00,ADA/USD,0.70923,0.71256,0.70574,0.70860,221923.19479938,157254.77583484066
1749661200,2025-06-11 17:00:00,ADA/USD,0.71994,0.72103,0.71028,0.71045,173122.61134934,122994.95923313861
1749657600,2025-06-11 16:00:00,ADA/USD,0.72553,0.72623,0.71990,0.72066,277497.05937996,199981.03081276198
1749654000,2025-06-11 15:00:00,ADA/USD,0.72547,0.72813,0.72300,0.72529,265669.02437364,192687.08668795737
1749650400,2025-06-11 14:00:00,ADA/USD,0.72132,0.73078,0.71993,0.72485,301882.80881374,218819.75396863942
1749646800,2025-06-11 13:00:00,ADA/USD,0.72348,0.72696,0.71937,0.71937,314260.40934028,226069.5106671172
1749643200,2025-06-11 12:00:00,ADA/USD,0.71447,0.72740,0.71145,0.72318,283843.18628062,205269.71545441877
1749639600,2025-06-11 11:00:00,ADA/USD,0.71836,0.71836,0.71257,0.71463,96199.51932075,68747.06249218757
1749636000,2025-06-11 10:00:00,ADA/USD,0.71383,0.71916,0.71199,0.71916,117719.56331625,84659.20115451435
1749632400,2025-06-11 09:00:00,ADA/USD,0.72106,0.72157,0.71215,0.71308,127782.88812238,91119.42186230673
1749628800,2025-06-11 08:00:00,ADA/USD,0.72389,0.72886,0.72106,0.72132,325549.97252401,234825.70618101888
1749625200,2025-06-11 07:00:00,ADA/USD,0.72684,0.72742,0.72080,0.72346,300194.95120449,217179.03939840032
1749621600,2025-06-11 06:00:00,ADA/USD,0.72060,0.72539,0.71826,0.72539,305285.54725165,221451.0831208744
1749618000,2025-06-11 05:00:00,ADA/USD,0.71962,0.72009,0.71767,0.72009,81681.52963131,58818.05267221002
