unix,date,symbol,open,high,low,close,Volume MATIC,Volume EUR
1683550800,2023-05-08 13:00:00,MATIC/EUR,0.85093,0.85093,0.84540,0.84540,2505.97143992,2118.5482553083684
1683547200,2023-05-08 12:00:00,MATIC/EUR,0.84877,0.84877,0.84642,0.84730,1061.90074536,899.748501543528
1683543600,2023-05-08 11:00:00,MATIC/EUR,0.84960,0.84990,0.84832,0.84962,37080.58004147,31504.40241483374
1683540000,2023-05-08 10:00:00,MATIC/EUR,0.85108,0.85323,0.85021,0.85024,549.63852975,467.32466353463997
1683536400,2023-05-08 09:00:00,MATIC/EUR,0.84336,0.84997,0.84336,0.84913,3615.95193529,3070.413266812798
1683532800,2023-05-08 08:00:00,MATIC/EUR,0.84084,0.84366,0.84029,0.84348,6305.99198162,5318.978116656837
1683529200,2023-05-08 07:00:00,MATIC/EUR,0.84460,0.84552,0.83681,0.84198,8866.99689784,7465.834048043323
1683525600,2023-05-08 06:00:00,MATIC/EUR,0.85054,0.85054,0.84657,0.84657,711.60903428,602.4268601504195
1683522000,2023-05-08 05:00:00,MATIC/EUR,0.84633,0.85138,0.84633,0.85079,2132.99880393,1814.734052395605
1683518400,2023-05-08 04:00:00,MATIC/EUR,0.85234,0.85234,0.84778,0.84787,1355.93777293,1149.658959534159
1683514800,2023-05-08 03:00:00,MATIC/EUR,0.84875,0.85036,0.84841,0.85036,4897.44065908,4164.587638855269
1683511200,2023-05-08 02:00:00,MATIC/EUR,0.84464,0.84464,0.84464,0.84464,47.21580791,39.8803599931024
1683507600,2023-05-08 01:00:00,MATIC/EUR,0.86250,0.86250,0.84000,0.84786,18809.17874804,15947.550293313196
1683504000,2023-05-08 00:00:00,MATIC/EUR,0.87753,0.87753,0.87753,0.87753,1073.69235394,942.1972513529682
1683500400,2023-05-07 23:00:00,MATIC/EUR,0.88195,0.88195,0.87460,0.87550,5686.46150343,4978.497046252965
1683496800,2023-05-07 22:00:00,MATIC/EUR,0.88000,0.88237,0.88000,0.88237,874.93316906,772.0147803834722
1683493200,2023-05-07 21:00:00,MATIC/EUR,0.88362,0.88362,0.88362,0.88362,22.63416400,19.999999993679996
1683489600,2023-05-07 20:00:00,MATIC/EUR,0.88464,0.88464,0.88403,0.88451,45952.31644971,40645.283422933
1683486000,2023-05-07 19:00:00,MATIC/EUR,0.88297,0.88427,0.88297,0.88427,623.71669137,551.53395867775
1683482400,2023-05-07 18:00:00,MATIC/EUR,0.88670,0.88670,0.88592,0.88592,126.38885756,111.97041668955521
1683478800,2023-05-07 17:00:00,MATIC/EUR,0.88358,0.88358,0.88358,0.88358,0.00000000,0.0
1683475200,2023-05-07 16:00:00,MATIC/EUR,0.88435,0.88442,0.88358,0.88358,11887.39839607,10503.467474799532
1683471600,2023-05-07 15:00:00,MATIC/EUR,0.88774,0.88774,0.88774,0.88774,5113.57467149,4539.524778868532
1683468000,2023-05-07 14:00:00,MATIC/EUR,0.88932,0.89233,0.88839,0.89233,2500.42187410,2231.201450915653
1683464400,2023-05-07 13:00:00,MATIC/EUR,0.88986,0.88986,0.88986,0.88986,0.00000000,0.0
1683460800,2023-05-07 12:00:00,MATIC/EUR,0.88986,0.88986,0.88986,0.88986,0.00000000,0.0
1683457200,2023-05-07 11:00:00,MATIC/EUR,0.89007,0.89007,0.88691,0.88986,109.01018080,97.003799486688
1683453600,2023-05-07 10:00:00,MATIC/EUR,0.88925,0.88958,0.88925,0.88958,73.10707429,65.03459114689821
1683450000,2023-05-07 09:00:00,MATIC/EUR,0.89139,0.89139,0.89139,0.89139,112.18434130,99.999999991407
1683446400,2023-05-07 08:00:00,MATIC/EUR,0.88835,0.88835,0.88835,0.88835,112.00540327,99.4999999949045
1683442800,2023-05-07 07:00:00,MATIC/EUR,0.88819,0.89084,0.88819,0.89084,853.21312565,760.076380854046
1683439200,2023-05-07 06:00:00,MATIC/EUR,0.88781,0.88781,0.88695,0.88695,1714.41126500,1520.59707149175
1683435600,2023-05-07 05:00:00,MATIC/EUR,0.88540,0.88540,0.88540,0.88540,0.00000000,0.0
1683432000,2023-05-07 04:00:00,MATIC/EUR,0.88540,0.88540,0.88540,0.88540,564.71651231,499.99999999927394
1683428400,2023-05-07 03:00:00,MATIC/EUR,0.88237,0.88237,0.88237,0.88237,0.00000000,0.0
1683424800,2023-05-07 02:00:00,MATIC/EUR,0.88237,0.88237,0.88237,0.88237,1023.79252639,903.3638115107443
1683421200,2023-05-07 01:00:00,MATIC/EUR,0.88630,0.88630,0.88630,0.88630,0.00000000,0.0
1683417600,2023-05-07 00:00:00,MATIC/EUR,0.88630,0.88630,0.88630,0.88630,2585.15974928,2291.227085786864
1683414000,2023-05-06 23:00:00,MATIC/EUR,0.88788,0.88788,0.88788,0.88788,220.74740955,195.99720999125398
1683410400,2023-05-06 22:00:00,MATIC/EUR,0.88900,0.88900,0.88900,0.88900,0.00000000,0.0
1683406800,2023-05-06 21:00:00,MATIC/EUR,0.88900,0.88900,0.88900,0.88900,50.00000000,44.45
1683403200,2023-05-06 20:00:00,MATIC/EUR,0.89135,0.89232,0.89039,0.89232,78.53236382,70.0759988838624
1683399600,2023-05-06 19:00:00,MATIC/EUR,0.89695,0.89695,0.89021,0.89021,250.19556748,222.7265961263708
1683396000,2023-05-06 18:00:00,MATIC/EUR,0.87919,0.88947,0.87919,0.88947,8041.79995046,7152.939801935656
1683392400,2023-05-06 17:00:00,MATIC/EUR,0.87164,0.87164,0.87164,0.87164,464.71731888,405.0662038285632
1683388800,2023-05-06 16:00:00,MATIC/EUR,0.86621,0.87228,0.86621,0.87228,6633.43529203,5786.212936531929
1683385200,2023-05-06 15:00:00,MATIC/EUR,0.86600,0.87011,0.86600,0.86615,4462.87244297,3865.516966478465
1683381600,2023-05-06 14:00:00,MATIC/EUR,0.87001,0.87001,0.86700,0.86783,1699.80231232,1475.1394407006655
1683378000,2023-05-06 13:00:00,MATIC/EUR,0.87639,0.87639,0.87231,0.87430,5673.38413494,4960.239749178042
1683374400,2023-05-06 12:00:00,MATIC/EUR,0.88318,0.88318,0.87700,0.87866,1235.19308739,1085.3147581660974
1683370800,2023-05-06 11:00:00,MATIC/EUR,0.88478,0.88485,0.88367,0.88420,753.48557989,666.2319497387381
1683367200,2023-05-06 10:00:00,MATIC/EUR,0.88317,0.88317,0.88060,0.88060,420.51954417,370.30951059610203
1683363600,2023-05-06 09:00:00,MATIC/EUR,0.88357,0.88431,0.88295,0.88369,424.58674261,375.2030585770309
1683360000,2023-05-06 08:00:00,MATIC/EUR,0.88811,0.88811,0.88685,0.88685,544.18240135,482.60816263724746
