unix,date,symbol,open,high,low,close,Volume VEXT,Volume USD
1711922400,2024-03-31 22:00:00,VEXT/USD,0.0990,0.0990,0.0990,0.0990,0.000,0.0
1711918800,2024-03-31 21:00:00,VEXT/USD,0.0990,0.0990,0.0990,0.0990,9598.275,950.229225
1711915200,2024-03-31 20:00:00,VEXT/USD,0.1077,0.1077,0.0986,0.0990,131033.456,12972.312144000001
1711911600,2024-03-31 19:00:00,VEXT/USD,0.1162,0.1162,0.1077,0.1077,63953.770,6887.821029
1711908000,2024-03-31 18:00:00,VEXT/USD,0.1162,0.1162,0.1162,0.1162,0.000,0.0
1711904400,2024-03-31 17:00:00,VEXT/USD,0.1168,0.1168,0.1158,0.1162,10398.177,1208.2681674
1711900800,2024-03-31 16:00:00,VEXT/USD,0.1170,0.1176,0.1167,0.1176,6373.058,749.4716208
1711897200,2024-03-31 15:00:00,VEXT/USD,0.1167,0.1167,0.1167,0.1167,0.000,0.0
1711893600,2024-03-31 14:00:00,VEXT/USD,0.1167,0.1167,0.1167,0.1167,0.000,0.0
1711890000,2024-03-31 13:00:00,VEXT/USD,0.1172,0.1172,0.1167,0.1167,28000.780,3267.691026
1711886400,2024-03-31 12:00:00,VEXT/USD,0.1176,0.1182,0.1176,0.1182,4120.508,487.0440456
1711882800,2024-03-31 11:00:00,VEXT/USD,0.1174,0.1175,0.1174,0.1175,1395.290,163.946575
1711879200,2024-03-31 10:00:00,VEXT/USD,0.1164,0.1164,0.1164,0.1164,0.000,0.0
1711875600,2024-03-31 09:00:00,VEXT/USD,0.1164,0.1164,0.1164,0.1164,0.000,0.0
1711872000,2024-03-31 08:00:00,VEXT/USD,0.1164,0.1164,0.1164,0.1164,0.000,0.0
1711868400,2024-03-31 07:00:00,VEXT/USD,0.1164,0.1164,0.1164,0.1164,0.000,0.0
1711864800,2024-03-31 06:00:00,VEXT/USD,0.1164,0.1164,0.1164,0.1164,171.677,19.9832028
1711861200,2024-03-31 05:00:00,VEXT/USD,0.1173,0.1173,0.1163,0.1163,6853.874,797.1055461999999
1711857600,2024-03-31 04:00:00,VEXT/USD,0.1201,0.1201,0.1173,0.1173,17346.092,2034.6965916000001
1711854000,2024-03-31 03:00:00,VEXT/USD,0.1201,0.1201,0.1201,0.1201,0.000,0.0
1711850400,2024-03-31 02:00:00,VEXT/USD,0.1201,0.1201,0.1201,0.1201,0.000,0.0
1711846800,2024-03-31 01:00:00,VEXT/USD,0.1201,0.1201,0.1201,0.1201,0.000,0.0
1711843200,2024-03-31 00:00:00,VEXT/USD,0.1201,0.1201,0.1201,0.1201,175.725,21.1045725
1711839600,2024-03-30 23:00:00,VEXT/USD,0.1201,0.1201,0.1201,0.1201,0.000,0.0
1711836000,2024-03-30 22:00:00,VEXT/USD,0.1201,0.1201,0.1201,0.1201,200.357,24.0628757
1711832400,2024-03-30 21:00:00,VEXT/USD,0.1216,0.1216,0.1201,0.1201,12523.125,1504.0273124999999
1711828800,2024-03-30 20:00:00,VEXT/USD,0.1229,0.1229,0.1216,0.1216,11302.966,1374.4406656
1711825200,2024-03-30 19:00:00,VEXT/USD,0.1227,0.1227,0.1227,0.1227,0.000,0.0
1711821600,2024-03-30 18:00:00,VEXT/USD,0.1227,0.1227,0.1227,0.1227,0.000,0.0
1711818000,2024-03-30 17:00:00,VEXT/USD,0.1234,0.1234,0.1227,0.1227,6081.648,746.2182096
