unix,date,symbol,open,high,low,close,Volume EURT,Volume EUR
1706137200,2024-01-24 23:00:00,EURT/EUR,1.00199,1.00199,1.00199,1.00199,0.00000,0.0
1706133600,2024-01-24 22:00:00,EURT/EUR,1.00199,1.00199,1.00199,1.00199,0.00000,0.0
1706130000,2024-01-24 21:00:00,EURT/EUR,1.00199,1.00199,1.00199,1.00199,0.00000,0.0
1706126400,2024-01-24 20:00:00,EURT/EUR,1.00199,1.00199,1.00199,1.00199,0.00000,0.0
1706122800,2024-01-24 19:00:00,EURT/EUR,1.00199,1.00199,1.00199,1.00199,0.00000,0.0
1706119200,2024-01-24 18:00:00,EURT/EUR,1.00199,1.00199,1.00199,1.00199,0.00000,0.0
1706115600,2024-01-24 17:00:00,EURT/EUR,1.00199,1.00199,1.00199,1.00199,0.00000,0.0
1706112000,2024-01-24 16:00:00,EURT/EUR,1.00199,1.00199,1.00199,1.00199,0.00000,0.0
1706108400,2024-01-24 15:00:00,EURT/EUR,1.00199,1.00199,1.00199,1.00199,0.00000,0.0
1706104800,2024-01-24 14:00:00,EURT/EUR,1.00199,1.00199,1.00199,1.00199,0.00000,0.0
1706101200,2024-01-24 13:00:00,EURT/EUR,1.00199,1.00199,1.00199,1.00199,0.00000,0.0
1706097600,2024-01-24 12:00:00,EURT/EUR,1.00199,1.00199,1.00199,1.00199,0.00000,0.0
1706094000,2024-01-24 11:00:00,EURT/EUR,1.00199,1.00199,1.00199,1.00199,0.00000,0.0
1706090400,2024-01-24 10:00:00,EURT/EUR,1.00199,1.00199,1.00199,1.00199,0.00000,0.0
1706086800,2024-01-24 09:00:00,EURT/EUR,1.00199,1.00199,1.00199,1.00199,0.00000,0.0
1706083200,2024-01-24 08:00:00,EURT/EUR,1.00199,1.00199,1.00199,1.00199,0.00000,0.0
1706079600,2024-01-24 07:00:00,EURT/EUR,1.00199,1.00199,1.00199,1.00199,0.00000,0.0
1706076000,2024-01-24 06:00:00,EURT/EUR,1.00199,1.00199,1.00199,1.00199,0.00000,0.0
1706072400,2024-01-24 05:00:00,EURT/EUR,1.00199,1.00199,1.00199,1.00199,0.00000,0.0
1706068800,2024-01-24 04:00:00,EURT/EUR,1.00199,1.00199,1.00199,1.00199,0.00000,0.0
1706065200,2024-01-24 03:00:00,EURT/EUR,1.00199,1.00199,1.00199,1.00199,0.00000,0.0
1706061600,2024-01-24 02:00:00,EURT/EUR,1.00199,1.00199,1.00199,1.00199,0.00000,0.0
1706058000,2024-01-24 01:00:00,EURT/EUR,1.00199,1.00199,1.00199,1.00199,0.00000,0.0
1706054400,2024-01-24 00:00:00,EURT/EUR,1.00199,1.00199,1.00199,1.00199,0.00000,0.0
1706050800,2024-01-23 23:00:00,EURT/EUR,1.00199,1.00199,1.00199,1.00199,0.00000,0.0
1706047200,2024-01-23 22:00:00,EURT/EUR,1.00199,1.00199,1.00199,1.00199,0.00000,0.0
1706043600,2024-01-23 21:00:00,EURT/EUR,1.00199,1.00199,1.00199,1.00199,0.00000,0.0
1706040000,2024-01-23 20:00:00,EURT/EUR,1.00199,1.00199,1.00199,1.00199,0.00000,0.0
1706036400,2024-01-23 19:00:00,EURT/EUR,1.00199,1.00199,1.00199,1.00199,0.00000,0.0
1706032800,2024-01-23 18:00:00,EURT/EUR,1.00199,1.00199,1.00199,1.00199,0.00000,0.0
1706029200,2024-01-23 17:00:00,EURT/EUR,1.00199,1.00199,1.00199,1.00199,0.00000,0.0
1706025600,2024-01-23 16:00:00,EURT/EUR,1.00199,1.00199,1.00199,1.00199,0.00000,0.0
1706022000,2024-01-23 15:00:00,EURT/EUR,1.00199,1.00199,1.00199,1.00199,0.00000,0.0
1706018400,2024-01-23 14:00:00,EURT/EUR,0.99951,1.00199,0.99951,1.00199,141.08777,141.3685346623
1706014800,2024-01-23 13:00:00,EURT/EUR,1.00202,1.00202,1.00202,1.00202,0.00000,0.0
1706011200,2024-01-23 12:00:00,EURT/EUR,1.00202,1.00202,1.00202,1.00202,0.00000,0.0
1706007600,2024-01-23 11:00:00,EURT/EUR,1.00202,1.00202,1.00202,1.00202,0.00000,0.0
1706004000,2024-01-23 10:00:00,EURT/EUR,1.00202,1.00202,1.00202,1.00202,0.00000,0.0
1706000400,2024-01-23 09:00:00,EURT/EUR,0.99862,1.00202,0.99862,1.00202,193.93646,194.3282116492
1705996800,2024-01-23 08:00:00,EURT/EUR,0.99873,0.99873,0.99873,0.99873,0.00000,0.0
1705993200,2024-01-23 07:00:00,EURT/EUR,0.99873,0.99873,0.99873,0.99873,0.00000,0.0
1705989600,2024-01-23 06:00:00,EURT/EUR,0.99873,0.99873,0.99873,0.99873,0.00000,0.0
1705986000,2024-01-23 05:00:00,EURT/EUR,0.99873,0.99873,0.99873,0.99873,0.00000,0.0
1705982400,2024-01-23 04:00:00,EURT/EUR,0.99873,0.99873,0.99873,0.99873,0.00000,0.0
1705978800,2024-01-23 03:00:00,EURT/EUR,0.99873,0.99873,0.99873,0.99873,0.00000,0.0
1705975200,2024-01-23 02:00:00,EURT/EUR,0.99873,0.99873,0.99873,0.99873,0.00000,0.0
1705971600,2024-01-23 01:00:00,EURT/EUR,0.99873,0.99873,0.99873,0.99873,0.00000,0.0
1705968000,2024-01-23 00:00:00,EURT/EUR,0.99873,0.99873,0.99873,0.99873,66.14297,66.0589684281
1705964400,2024-01-22 23:00:00,EURT/EUR,0.99860,0.99860,0.99860,0.99860,0.00000,0.0
1705960800,2024-01-22 22:00:00,EURT/EUR,0.99860,0.99860,0.99860,0.99860,0.00000,0.0
1705957200,2024-01-22 21:00:00,EURT/EUR,0.99860,0.99860,0.99860,0.99860,0.00000,0.0
1705953600,2024-01-22 20:00:00,EURT/EUR,1.00202,1.00203,0.99860,0.99860,1994.36068,1991.5685750480002
1705950000,2024-01-22 19:00:00,EURT/EUR,1.00136,1.00136,1.00136,1.00136,0.00000,0.0
1705946400,2024-01-22 18:00:00,EURT/EUR,1.00136,1.00136,1.00136,1.00136,0.00000,0.0
1705942800,2024-01-22 17:00:00,EURT/EUR,1.00136,1.00136,1.00136,1.00136,0.00000,0.0
1705939200,2024-01-22 16:00:00,EURT/EUR,1.00136,1.00136,1.00136,1.00136,0.00000,0.0
1705935600,2024-01-22 15:00:00,EURT/EUR,1.00136,1.00136,1.00136,1.00136,0.00000,0.0
1705932000,2024-01-22 14:00:00,EURT/EUR,1.00136,1.00136,1.00136,1.00136,0.00000,0.0
1705928400,2024-01-22 13:00:00,EURT/EUR,1.00136,1.00136,1.00136,1.00136,0.00000,0.0
1705924800,2024-01-22 12:00:00,EURT/EUR,1.00136,1.00136,1.00136,1.00136,0.00000,0.0
1705921200,2024-01-22 11:00:00,EURT/EUR,1.00122,1.00136,1.00122,1.00136,1995.73607,1998.4502710552
1705917600,2024-01-22 10:00:00,EURT/EUR,0.99709,0.99709,0.99709,0.99709,0.00000,0.0
1705914000,2024-01-22 09:00:00,EURT/EUR,0.99709,0.99709,0.99709,0.99709,0.00000,0.0
1705910400,2024-01-22 08:00:00,EURT/EUR,0.99709,0.99709,0.99709,0.99709,0.00000,0.0
1705906800,2024-01-22 07:00:00,EURT/EUR,0.99709,0.99709,0.99709,0.99709,20.33783,20.2786469147
1705903200,2024-01-22 06:00:00,EURT/EUR,1.00119,1.00119,1.00119,1.00119,0.00000,0.0
1705899600,2024-01-22 05:00:00,EURT/EUR,1.00119,1.00119,1.00119,1.00119,0.00000,0.0
1705896000,2024-01-22 04:00:00,EURT/EUR,1.00119,1.00119,1.00119,1.00119,0.00000,0.0
1705892400,2024-01-22 03:00:00,EURT/EUR,1.00119,1.00119,1.00119,1.00119,0.00000,0.0
1705888800,2024-01-22 02:00:00,EURT/EUR,1.00119,1.00119,1.00119,1.00119,0.00000,0.0
1705885200,2024-01-22 01:00:00,EURT/EUR,1.00119,1.00119,1.00119,1.00119,0.00000,0.0
1705881600,2024-01-22 00:00:00,EURT/EUR,1.00119,1.00119,1.00119,1.00119,0.00000,0.0
1705878000,2024-01-21 23:00:00,EURT/EUR,1.00119,1.00119,1.00119,1.00119,0.00000,0.0
1705874400,2024-01-21 22:00:00,EURT/EUR,1.00119,1.00119,1.00119,1.00119,0.00000,0.0
1705870800,2024-01-21 21:00:00,EURT/EUR,1.00119,1.00119,1.00119,1.00119,0.00000,0.0
1705867200,2024-01-21 20:00:00,EURT/EUR,1.00119,1.00119,1.00119,1.00119,20.37999,20.4042421881
1705863600,2024-01-21 19:00:00,EURT/EUR,0.99859,0.99859,0.99859,0.99859,0.00000,0.0
1705860000,2024-01-21 18:00:00,EURT/EUR,0.99859,0.99859,0.99859,0.99859,0.00000,0.0
1705856400,2024-01-21 17:00:00,EURT/EUR,0.99859,0.99859,0.99859,0.99859,0.00000,0.0
1705852800,2024-01-21 16:00:00,EURT/EUR,0.99859,0.99859,0.99859,0.99859,0.00000,0.0
1705849200,2024-01-21 15:00:00,EURT/EUR,0.99859,0.99859,0.99859,0.99859,0.00000,0.0
1705845600,2024-01-21 14:00:00,EURT/EUR,0.99859,0.99859,0.99859,0.99859,0.00000,0.0
1705842000,2024-01-21 13:00:00,EURT/EUR,0.99859,0.99859,0.99859,0.99859,0.00000,0.0
1705838400,2024-01-21 12:00:00,EURT/EUR,0.99859,0.99859,0.99859,0.99859,0.00000,0.0
1705834800,2024-01-21 11:00:00,EURT/EUR,0.99859,0.99859,0.99859,0.99859,0.00000,0.0
1705831200,2024-01-21 10:00:00,EURT/EUR,0.99859,0.99859,0.99859,0.99859,0.00000,0.0
1705827600,2024-01-21 09:00:00,EURT/EUR,0.99859,0.99859,0.99859,0.99859,0.00000,0.0
1705824000,2024-01-21 08:00:00,EURT/EUR,0.99859,0.99859,0.99859,0.99859,0.00000,0.0
1705820400,2024-01-21 07:00:00,EURT/EUR,0.99859,0.99859,0.99859,0.99859,0.00000,0.0
1705816800,2024-01-21 06:00:00,EURT/EUR,0.99859,0.99859,0.99859,0.99859,0.00000,0.0
1705813200,2024-01-21 05:00:00,EURT/EUR,0.99859,0.99859,0.99859,0.99859,0.00000,0.0
1705809600,2024-01-21 04:00:00,EURT/EUR,0.99859,0.99859,0.99859,0.99859,0.00000,0.0
1705806000,2024-01-21 03:00:00,EURT/EUR,0.99859,0.99859,0.99859,0.99859,0.00000,0.0
1705802400,2024-01-21 02:00:00,EURT/EUR,0.99859,0.99859,0.99859,0.99859,0.00000,0.0
