unix,date,symbol,open,high,low,close,Volume PYUSD,Volume USD
1733756400,2024-12-09 15:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733752800,2024-12-09 14:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733749200,2024-12-09 13:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733745600,2024-12-09 12:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733742000,2024-12-09 11:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733738400,2024-12-09 10:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733734800,2024-12-09 09:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733731200,2024-12-09 08:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733727600,2024-12-09 07:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733724000,2024-12-09 06:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733720400,2024-12-09 05:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733716800,2024-12-09 04:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733713200,2024-12-09 03:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733709600,2024-12-09 02:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733706000,2024-12-09 01:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733702400,2024-12-09 00:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733698800,2024-12-08 23:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733695200,2024-12-08 22:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733691600,2024-12-08 21:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733688000,2024-12-08 20:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733684400,2024-12-08 19:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733680800,2024-12-08 18:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733677200,2024-12-08 17:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733673600,2024-12-08 16:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733670000,2024-12-08 15:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733666400,2024-12-08 14:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
